JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Engineer Student Thesis Assignment - Vent Pattern Design,Apollo Tyres Global R&D,Enschede,Meer dan 30 dagen geleden,03-01-2021,"Next to delivering the data the department clarifies questions of the suppliers, which are located all around the globe.
Available for 5-6 months.",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeJnrXaUflvF4o6KqeKJBM9d_15l4Y-yo8sl4Im7piN-a9gnZp-jpfvZ-Lf-dpT0OQfsvXkvKEBxYReazp7mGrGxfRcbYv59DMJZPLt4LB9CJFyOw1m2d3HPKNOb4sC9yjhX2T96-s4gQ9oUq9j4nJZYk0UdcWERyeqJD9r5CKimL3exJXqBAn5nj5wIHyhW87WKrXnxklCpBfpkfUw-5YiDZrvR3mV-AoAlvsRkohdd0oo0LOIxXGoFgTyyTT6LHqdQl-FHr1biiAIH1W80Mwe9gNTJZ8G3gpikJYWTOkLdDNew6iXE4vQh3lSrT7XH_wWiwwYWuYJy2KpIED6hOz4LJLqhzqxEGpMcd9yvx_usMMhAaTGlcFcdqiHbGx-PTF_bCIBkZYm2xDbuKaoEdCm4FeV7yBGjwcAL9oy3cA-Z1ygSqzUr8bnjLvPd8HHPBYCN2ixt-3_Hmmd-CKwD7Gjl8hmnwMoHbHood3rfHHtYUQFy5CJTUk&p=0&fvj=1&vjs=3
Internship: Business Development & Marketing (suitable for thesis),Philips,Amsterdam,12 dagen geleden,03-01-2021,"Internship: Business Development & Marketing (suitable for thesis).
It can be discussed to make this assignment suitable for your thesis.
You are a part of.",,https://nl.indeed.com/rc/clk?jk=bd24d0ced519d28f&fccid=e4af9ca5b6d3a604&vjs=3
Research Assistant (master thesis),Effectory,Amsterdam Centrum,10 dagen geleden,03-01-2021,"This is the data you will be using for your research.
We collect data from questionnaires from workplaces all around the world.
But that’s not all!",,https://nl.indeed.com/rc/clk?jk=27e015500ecb8814&fccid=d40e13dda2f62843&vjs=3
Quant Analyst,DA VINCI DERIVATIVES,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"Analyzing market data to build new trading strategies.
Improving and refining the data infrastructure and setup.
In this role we are looking for:","<span class=""salaryText"">
€80.000 per jaar</span>",https://nl.indeed.com/rc/clk?jk=048f7de6ee4908e4&fccid=bed24f857b7521e3&vjs=3
"Internships / Stages: Marketing, Sales, Data, Customer Support, Finance, Administratie",Springest,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"For example, scraping data from websites, API or other data resources, to add to Springest.
Next to that, you will have the chance to write scripts to…",,https://nl.indeed.com/rc/clk?jk=46c93bd80197c45c&fccid=fe1b59d89783fc71&vjs=3
Internship: Business Development Garment Care (Suitable for thesis),Philips,Amsterdam,11 dagen geleden,03-01-2021,"Internship: Business Development Garment Care (Suitable for thesis).
We are open to discuss support on your thesis subject as long as it will be in line with…",,https://nl.indeed.com/rc/clk?jk=462ddd5e87dcb344&fccid=e4af9ca5b6d3a604&vjs=3
AI technical internship - Spring 2021,Quinyx,Rotterdam,19 dagen geleden,03-01-2021,"Preferably has experience with large data sets, data mining, time series analysis, deep learning and distributed algorithms.
What you’ll be doing.",,https://nl.indeed.com/rc/clk?jk=99d6ca29e686a535&fccid=cb08197253757670&vjs=3
Science Traineeship,MIcompany,Amsterdam Centrum,Meer dan 30 dagen geleden,03-01-2021,"One of the fastest-growing data sources in the world is DNA data and medical imaging data.
Esmée is currently working towards a publication of her thesis.",,https://nl.indeed.com/rc/clk?jk=6321c0283d4a7d7f&fccid=4e85df510c3b1124&vjs=3
Postdoctoral researcher on reinforcement learning with structured data,Universiteit van Amsterdam,Amsterdam Centrum,Meer dan 30 dagen geleden,03-01-2021,We are looking for a postdoctoral researcher interested in performing research on developing (deep) reinforcement learning techniques that can take structured…,"<span class=""salaryText"">
€2.790 - €4.402 per maand</span>",https://nl.indeed.com/rc/clk?jk=bc918a9237aaf007&fccid=6d76c7ec59b89971&vjs=3
Afstudeerstage Digital Ethics,PwC,Amsterdam,27 dagen geleden,03-01-2021,"Heb jij het idee dat innovatie, technologie en data dé oplossing vormen van elk klantprobleem?
Jouw belangrijkste activiteit is het schrijven van je thesis of…",,https://nl.indeed.com/rc/clk?jk=f0d8e0141034d9dc&fccid=5e964c4afc56b180&vjs=3
